通し番号,元リスト,エリア,店舗名,業種,公式サイトURL,電話,メール公開,メールアドレス,問い合わせフォーム,備考
275,追加2,奈良,わんだふる,トリミング,https://www.trimmingsalon-wonderful.com/,,×,,○,香芝市良福寺｜WEB予約フォーム(外部:petlife.asia)と/contactリンク、電話080-3798-1101
276,追加2,和歌山,DOG SALON POCHI,トリミング/預かり,https://pochiwakayama.jimdofree.com/,,不明,,不明,和歌山市西庄｜メールはCloudflare保護で実アドレス不可視、電話073-419-0019、フォーム有無も確認不可
277,追加2,岡山,pet salon MOJOKA,トリミングサロン(犬猫),https://www.petsalon-mojoka.com/,,×,,×,岡山市中区浜2-9-18｜電話070-9095-8201・LINE予約のみ、/contactも案内のみ
278,追加2,岡山,BEAU MONDE(ボーモンド),ドッグサロン/トリミング/ホテル,https://www.beaumonde.co.jp/,,×,,×,倉敷市笹沖362-53｜電話086-427-1500のみ、入力フォーム無
279,追加2,岡山,Dogsalon&Cafe PawPads,トリミングサロン/カフェ,https://dog-salon-pawpads.com/,,×,,○,岡山市北区西長瀬1210-1｜Web予約フォーム(外部:Coubic)、電話086-280-9656/Instagram
280,追加2,広島,ドッグサロン Petit,トリミングサロン,https://www.dogsalon-petit.com/,,×,,不明,福山市沼隈町草深2013-2｜/contactリンクあるが500/503/timeoutで開けずフォーム内容未確認
281,追加2,広島,Dog Salon TRIANGLE,トリミングサロン,https://dogsalon-triangle.com/,,×,,○,福山市明神町1-8-26｜/contactに名前/メール/住所/電話/本文の入力フォーム、電話084-991-3165
282,追加2,広島,ペットの美容室 BiBi,ドッグサロン/トリミング,https://pet-bibi.com/,,○,reserve@pet-bibi.com,○,広島市南区上東雲町9-25｜/contact/にフォーム(CAPTCHA)+mailto掲載、別途予約システム
283,追加2,広島,ペット美容室 SARY,ペット美容室/トリミング,https://pet-sary.com/,,×,,○,広島市西区庚午南｜新規予約フォーム(sary.pos-s.net/reserve/)、電話/LINEも
284,追加2,広島,Dog salon Lien(リアン),トリミングサロン,https://lien-kure.com/,,×,,×,呉市焼山中央1-5-2｜予約・問い合わせはLINEと電話のみ
285,追加2,広島,出張トリミングカー ドッグサロンあかり,出張トリミング,https://dogsalon-akari.com/,,×,,×,呉市・東広島市・熊野町ほか｜連絡はLINE予約と電話のみ
286,追加2,鳥取,dog&cat MONTA(モンタ),ペットサロン/トリミング,http://dc-monta.com/,,不明,,不明,鳥取市興南町｜http/https/www全てECONNREFUSEDで接続不可
287,追加2,鳥取,ドッグサロンポワ,ドッグサロン/トリミング,http://dogsalonpoir.jp/,,不明,,不明,鳥取市立川町5-51-16｜http/https/www全て503で開けず
288,追加2,島根,ペットサロン リボン,ペットサロン/トリミング/ホテル,https://www.petsalon-ribbon.jp/,,×,,×,松江市西津田3-13-22｜電話(0852-26-7313)とFacebookのみ
289,追加2,山口,ドッグサロンバウ,トリミングサロン,https://dogsalonbow.com/,,○,dogsalonbow@gmail.com,×,山口市朝田352-13｜お問合せページにmailto掲載、フォームはなくLINE/メール/電話誘導
290,追加2,徳島,Pet House わん's,ペットホテル&トリミングサロン,https://www.pethouse-wans.com/,,×,,○,徳島市城東町2-2-3｜contact.phpにメールフォーム(完全予約制)
291,追加2,徳島,愛犬サロン&愛犬ホテル ラブペティ,ドッグサロン&ペットホテル,https://www.love-pety.com/,,×,,×,徳島市応神町吉成字前須20-5｜電話(088-678-8123)のみ、フォーム・メールなし
292,追加2,香川,dog salon CLANTE,トリミングサロン,https://www.clantedogsalon2020.com/,,×,,○,高松市今里町393-2｜/contactに名前/メール/電話/内容の入力フォーム(全必須)
293,追加2,香川,ペットサロン&ミニドッグランWOM 高松檀紙店,ドッグサロン/ドッグラン,https://www.wom-dogsalon.com/,,×,,○,高松市檀紙町765-1｜予約は外部予約カレンダー(book-online)、問い合わせは電話/LINE/Instagram
294,追加2,高知,AMERICAN DOG(アメリカンドッグ),トリミング/グルーミング/ペットホテル,https://americandog.jp/,,×,,×,高知市本町3-2-48｜電話(080-2556-3102)のみ、フォーム・メールなし
295,追加2,高知,ドッグアンドシー,ドッグラン&トリミングサロン/ホテル,https://dog-and-sea.com/,,○,wanwan@dog-and-sea.com,○,高知市春野町弘岡下2655-7｜フッターにメール掲載、/inquery/に名前/メール/題名/本文の入力フォーム
296,追加2,福岡,ピコワンワンショップ,トリミング/ペットホテル,https://www.picowanwan.co.jp/,,×,,○,北九州市小倉南区守恒本町｜トップにWeb予約フォーム(EPARK petlife)、問い合わせページは404
297,追加2,福岡,ペットサロン Dspace,トリミング/ペットホテル/デイケア,https://www.dspace-kokura.com/,,×,,○,北九州市小倉南区｜contact.phpに入力欄付き問い合わせ/予約フォーム
298,追加2,福岡,グルーミングサロン オラージュ,ペット美容室/ペットホテル,https://orage8.xyz/,,×,,×,北九州市小倉北区赤坂本町2-7-9｜contact.htmlはLINE/電話誘導のみ、予約は外部E-PARK
299,追加2,福岡,Pet salon Ammy(アミイ),トリミングサロン,https://www.petsalon-ammy.com/,,×,,○,北九州市八幡西区陣原5-2-8｜/contactに名前/メール/電話/内容のフォーム(新規予約は電話のみ)
300,追加2,福岡,ドッグアカデミーPePeDOG,犬の保育園/しつけ/グルーミング,https://pepedog.net/,,×,,○,北九州市若松区塩屋2-1-11｜/contact/に用件/名前/住所/電話/メール/ペット情報/内容のフォーム
301,追加2,福岡,BULL STAR,トリミングサロン/ホテル,https://bullstar.jp/,,×,,○,久留米市荒木町｜/contact/に名前/メール/電話/犬種/問合せ内容のフォーム、TEL080-9100-2607
302,追加2,福岡,どっぐぱーる,トリミングサロン,https://www.dog-pearl.com/,,×,,○,久留米市津福本町｜/contactにフォーム、Web予約(petlife.asia)、TEL0942-33-3935
303,追加2,熊本,ペットラウンジ le chien(ルシアン),トリミング/ペットホテル/老犬ホーム,https://www.petlounge-lechien.com/,,×,,○,熊本市西区松尾2-3-15｜contact.phpにフォーム(メール問い合わせは停止明記)、LINE/TEL案内
304,追加2,大分,トリミングサロン Licotta,トリミングサロン,https://www.trimming-licotta.com/,,×,,○,大分市岩田町2-20-16｜/contactにフォーム、Web予約(petlife.asia)、TEL097-552-6845
305,追加2,大分,FLUFFY+(フラッフィープラス),ドッグサロン/プレイルーム/ホテル,https://www.fluffy-plus.com/,,×,,○,大分市上宗方｜/contactに名前/メール/電話/問合せ内容のフォーム、TEL090-7580-6850
306,追加2,大分,ドッグサロン ミュウ,トリミングサロン/ペットホテル,https://www.dogsalonmiu.com/,,×,,×,大分市王子南町1-31｜トップに電話番号のみ、専用問合せページ・フォームなし
307,追加2,宮崎,ドッグサロン Wanna Relax(ワンリラ),トリミングサロン,https://www.wannarelax.jp/,,×,,○,宮崎市吉村町｜/contactに名前/メール/電話/問合せ内容のフォーム、Web予約(petlife.asia)、TEL0985-69-7751
308,追加2,宮崎,ドッグサロンLibra,犬の美容室,https://dogsalon-libra.com/,,×,,×,宮崎市｜電話(0985-89-2614)とLINE(QR)のみ、フォーム・問合せページなし
309,追加2,鹿児島,ドッグサロン エマ,トリミング/ホテル/室内ドッグラン,https://www.dogsalon-emma.jp/,,不明,,不明,鹿児島市池之上町1-1｜https/http・www有無・トップいずれも403で開けず
310,追加2,佐賀,ドッグサロン いぬばか,トリミングサロン/ペットホテル,https://inu-baka.com/,,×,,×,佐賀市｜/contactは「お問い合わせはお電話で」、LINE/Airリザーブ予約、TEL0952-65-3078
311,追加2,佐賀,犬の美容室 クララ,トリミングサロン/ペットホテル,http://www.petsalon-clara.com/,,×,,×,佐賀市川副町犬井道1190-2｜電話(090-8404-9608)のみ、完全予約制で電話のみ
312,追加2,佐賀,Dog Lovers,トリミングサロン,https://saga-doglovers.com/,,×,,○,小城市三日月町長神田787-4｜/contact/に名前/フリガナ/電話/住所/メール/問合せ内容のフォーム、TEL0952-60-2600
313,追加2,長崎,dog salon ナナイロ,トリミングサロン,https://dog-nanairo.com/,,×,,×,長崎市西海町1779-29｜LINE予約と電話(080-7833-0311)のみ、入力フォームなし
314,追加2,長崎,DOGBOX(ハウステンボス店),トリミング/ペットホテル/ドッグラン,https://www.dogbox.me/,,×,,×,佐世保市ハウステンボス｜各店電話番号とFacebookのみ、フォームなし
315,追加2,沖縄,ドッグサロン carone(カロネ),トリミングサロン/ペットホテル,https://www.dogsalon-carone.com/,,×,,○,那覇市三原3-18-23｜/contactに名前/メール/電話/問合せ内容のフォーム、Web予約(petlife.asia)、TEL098-851-7769
